Date,Nombre de personnes testées COVID+ par jour (moyenne mobile sur 7 jours),Nombre de personnes en soins intensifs,Nombre de personnes testées COVID+ par jour,Nombre cumulé de décès,Nombre de décès par jours *,"Nombre de personnes testées ""positif""",Nombre de personnes testées (cumul),Nombre de personnes testées par jour *,Nombre de tests PCR effectués (cumul),Nombre de tests PCR effectués par jour *,Nombre de personnes guéries,Nombre d'infections actives,Nombre de personnes en soins intensifs,Nombre de personnes en soins normaux
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
24/02/2020,0,0,0,0,0,0,2,2,2,2,0,,0,0
25/02/2020,0,0,0,0,0,0,9,7,9,7,0,,0,0
26/02/2020,0,0,0,0,0,0,11,2,11,2,0,,0,0
27/02/2020,0,0,0,0,0,0,12,1,12,1,0,,0,0
28/02/2020,0,0,0,0,0,0,16,4,16,4,0,,0,0
29/02/2020,0,0,1,0,0,1,17,1,17,1,0,,0,0
01/03/2020,0,0,0,0,0,1,17,0,17,0,0,,0,0
02/03/2020,0,0,0,0,0,1,21,4,21,4,0,,0,0
03/03/2020,0,0,0,0,0,1,23,2,23,2,0,,0,0
04/03/2020,0,0,0,0,0,1,23,0,24,1,0,,0,0
05/03/2020,0,0,1,0,0,2,28,5,29,5,0,,0,0
06/03/2020,0,0,0,0,0,2,34,6,35,6,0,,0,0
07/03/2020,0,0,1,0,0,3,40,6,41,6,0,,0,0
08/03/2020,0,0,0,0,0,3,40,0,41,0,0,,0,0
09/03/2020,0,0,0,0,0,3,55,15,56,15,0,,0,0
10/03/2020,0,0,0,0,0,3,76,21,77,21,0,,0,0
11/03/2020,0,0,1,0,0,4,110,34,111,34,0,,0,0
12/03/2020,2,0,13,0,0,17,281,171,282,171,0,,0,0
13/03/2020,5,0,22,1,1,39,463,182,465,183,0,,0,0
14/03/2020,8,0,18,1,0,57,554,91,557,92,0,,0,0
15/03/2020,8,0,0,1,0,57,571,17,575,18,0,,0,0
16/03/2020,12,0,32,1,0,89,924,353,933,358,0,88,0,0
17/03/2020,28,0,109,3,2,198,1484,560,1512,579,0,195,0,0
18/03/2020,49,0,148,3,0,346,2360,876,2393,881,0,343,0,0
19/03/2020,66,0,136,4,1,482,3252,892,3294,901,0,478,0,1
20/03/2020,87,3,168,6,2,650,4231,979,4289,995,0,644,3,18
21/03/2020,102,6,119,7,1,769,4661,430,4727,438,0,762,6,56
22/03/2020,105,5,21,7,0,790,4682,21,4748,21,0,783,5,63
23/03/2020,131,7,219,7,0,1009,5765,1083,5852,1104,0,1002,7,71
24/03/2020,141,9,173,7,0,1182,6622,857,6737,885,0,1175,9,97
25/03/2020,141,21,149,9,2,1331,7485,863,7637,900,3,1319,21,128
26/03/2020,150,26,201,9,0,1532,11892,4407,12234,4597,4,1519,26,120
27/03/2020,148,26,153,14,5,1685,12904,1012,13316,1082,15,1656,26,128
28/03/2020,145,29,97,17,3,1782,13653,749,14140,824,37,1728,29,152
29/03/2020,146,27,33,21,4,1815,13893,240,14413,273,54,1740,27,160
30/03/2020,135,30,137,22,1,1952,14870,977,15489,1076,54,1876,30,156
31/03/2020,122,32,86,26,4,2038,15714,844,16425,936,83,1929,32,163
